马太福音1:1	　亚伯拉罕的后裔，大卫的子孙，耶稣基督的家谱：
马太福音2:1	　当希律王的时候，耶稣生在犹太的伯利恒。有几个博士从东方来到耶路撒冷，说：
马太福音2:2	　那生下来作犹太人之王的在哪里？我们在东方看见他的星，特来拜他。
马太福音2:3	　希律王听见了，就心里不安；耶路撒冷合城的人也都不安。
马太福音2:4	　他就召齐了祭司长和民间的文士，问他们说：基督当生在何处？
马太福音2:5	　他们回答说：在犹太的伯利恒。因为有先知记着说：
马太福音2:6	　犹大地的伯利恒啊，你在犹大诸城中并不是最小的；因为将来有一位君王要从你那里出来，牧养我以色列民。
马太福音2:7	　当下，希律暗暗地召了博士来，细问那星是什么时候出现的，
马太福音2:8	　就差他们往伯利恒去，说：你们去仔细寻访那小孩子，寻到了就来报信，我也好去拜他。
马太福音2:9	　他们听见王的话就去了。在东方所看见的那星忽然在他们前头行，直行到小孩子的地方，就在上头停住了。
马太福音2:10	　他们看见那星，就大大地欢喜；
马太福音2:11	　进了房子，看见小孩子和他母亲马利亚，就俯伏拜那小孩子，揭开宝盒，拿黄金、乳香、没药为礼物献给他。
马太福音2:12	　博士因为在梦中被主指示不要回去见希律，就从别的路回本地去了。
马太福音2:13	　他们去后，有主的使者向约瑟梦中显现，说：起来！带着小孩子同他母亲逃往埃及，住在那里，等我吩咐你；因为希律必寻找小孩子，要除灭他。
马太福音2:14	　约瑟就起来，夜间带着小孩子和他母亲往埃及去，
马太福音2:15	　住在那里，直到希律死了。这是要应验主借先知所说的话，说：我从埃及召出我的儿子来。
马太福音2:16	　希律见自己被博士愚弄，就大大发怒，差人将伯利恒城里并四境所有的男孩，照着他向博士仔细查问的时候，凡两岁以下的，都杀尽了。
马太福音2:17	　这就应了先知耶利米的话，说：
马太福音2:18	　在拉玛听见号咷大哭的声音，是拉结哭她儿女，不肯受安慰，因为他们都不在了。
马太福音2:19	　希律死了以后，有主的使者在埃及向约瑟梦中显现，说：
马太福音2:20	　起来！带着小孩子和他母亲往以色列地去，因为要害小孩子性命的人已经死了。
马太福音2:21	　约瑟就起来，把小孩子和他母亲带到以色列地去；
马太福音2:22	　只因听见亚基老接着他父亲希律作了犹太王，就怕往那里去，又在梦中被主指示，便往加利利境内去了。
马太福音2:23	　到了一座城，名叫拿撒勒，就住在那里。这是要应验先知所说，他将称为拿撒勒人的话了。
马太福音3:1	　那时，有施洗的约翰出来，在犹太的旷野传道，说：
马太福音3:2	　天国近了，你们应当悔改！
马太福音3:3	　这人就是先知以赛亚所说的。他说：在旷野有人声喊着说：预备主的道，修直他的路！
马太福音3:4	　这约翰身穿骆驼毛的衣服，腰束皮带，吃的是蝗虫、野蜜。
马太福音3:5	　那时，耶路撒冷和犹太全地，并约旦河一带地方的人，都出去到约翰那里，
马太福音3:6	　承认他们的罪，在约旦河里受他的洗。
马太福音3:7	　约翰看见许多法利赛人和撒都该人也来受洗，就对他们说：毒蛇的种类！谁指示你们逃避将来的忿怒呢？
马太福音3:8	　你们要结出果子来，与悔改的心相称。
马太福音3:9	　不要自己心里说：有亚伯拉罕为我们的祖宗。我告诉你们，神能从这些石头中给亚伯拉罕兴起子孙来。
马太福音3:10	　现在斧子已经放在树根上，凡不结好果子的树就砍下来，丢在火里。
马太福音3:11	　我是用水给你们施洗，叫你们悔改；但那在我以后来的，能力比我更大，我就是给他提鞋也不配。他要用圣灵与火给你们施洗。
马太福音3:12	　他手里拿着簸箕，要扬净他的场，把麦子收在仓里，把糠用不灭的火烧尽了。
马太福音3:13	　当下，耶稣从加利利来到约旦河，见了约翰，要受他的洗。
马太福音3:14	　约翰想要拦住他，说：我当受你的洗，你反倒上我这里来吗？
马太福音3:15	　耶稣回答说：你暂且许我，因为我们理当这样尽诸般的义。于是约翰许了他。
马太福音3:16	　耶稣受了洗，随即从水里上来。天忽然为他开了，他就看见神的灵仿佛鸽子降下，落在他身上。
马太福音3:17	　从天上有声音说：这是我的爱子，我所喜悦的。
马太福音4:1	　当时，耶稣被圣灵引到旷野，受魔鬼的试探。
马太福音4:2	　他禁食四十昼夜，后来就饿了。
马太福音4:3	　那试探人的进前来，对他说：你若是神的儿子，可以吩咐这些石头变成食物。
马太福音4:4	　耶稣却回答说：经上记着说：人活着不是单靠食物，乃是靠神口里所出的一切话。
马太福音4:5	　魔鬼就带他进了圣城，叫他站在殿顶上，
马太福音4:6	　对他说：你若是神的儿子，可以跳下去；因为经上记着说：主要为你吩咐他的使者用手托着你，免得你的脚碰在石头上。
马太福音4:7	　耶稣对他说：经上又记着说：不可试探主你的神。
马太福音4:8	　魔鬼又带他上了一座最高的山，将世上的万国与万国的荣华都指给他看，
马太福音4:9	　对他说：你若俯伏拜我，我就把这一切都赐给你。
马太福音4:10	　耶稣说：撒但，退去吧！因为经上记着说：当拜主你的神，单要事奉他。
马太福音4:11	　于是，魔鬼离了耶稣，有天使来伺候他。
马太福音4:12	　耶稣听见约翰下了监，就退到加利利去；
马太福音4:13	　后又离开拿撒勒，往迦百农去，就住在那里。那地方靠海，在西布伦和拿弗他利的边界上。
马太福音4:14	　这是要应验先知以赛亚的话，
马太福音4:15	　说：西布伦地，拿弗他利地，就是沿海的路，约旦河外，外邦人的加利利地。
马太福音4:16	　那坐在黑暗里的百姓看见了大光；坐在死荫之地的人有光发现照着他们。
马太福音4:17	　从那时候，耶稣就传起道来，说：天国近了，你们应当悔改！
马太福音4:18	　耶稣在加利利海边行走，看见弟兄二人，就是那称呼彼得的西门和他兄弟安得烈，在海里撒网；他们本是打鱼的。
马太福音4:19	　耶稣对他们说：来跟从我，我要叫你们得人如得鱼一样。
马太福音4:20	　他们就立刻舍了网，跟从了他。
马太福音4:21	　从那里往前走，又看见弟兄二人，就是西庇太的儿子雅各和他兄弟约翰，同他们的父亲西庇太在船上补网，耶稣就招呼他们，
马太福音4:22	　他们立刻舍了船，别了父亲，跟从了耶稣。
马太福音4:23	　耶稣走遍加利利，在各会堂里教导人，传天国的福音，医治百姓各样的病症。
马太福音4:24	　他的名声就传遍了叙利亚。那里的人把一切害病的，就是害各样疾病、各样疼痛的和被鬼附的、癫痫的、瘫痪的，都带了来，耶稣就治好了他们。
马太福音4:25	　当下，有许多人从加利利、低加坡里、耶路撒冷、犹太、约旦河外来跟着他。
马太福音5:1	　耶稣看见这许多的人，就上了山，既已坐下，门徒到他跟前来，
马太福音5:2	　他就开口教导他们，说：
马太福音5:3	　虚心的人有福了，因为天国是他们的。
马太福音5:4	　哀恸的人有福了，因为他们必得安慰。
马太福音5:5	　温柔的人有福了，因为他们必承受地土。
马太福音5:6	　饥渴慕义的人有福了，因为他们必得饱足。
马太福音5:7	　怜恤人的人有福了，因为他们必蒙怜恤。
马太福音5:8	　清心的人有福了，因为他们必得见神。
马太福音5:9	　使人和睦的人有福了，因为他们必称为神的儿子。
马太福音5:10	　为义受逼迫的人有福了，因为天国是他们的。
马太福音5:11	　人若因我辱骂你们、逼迫你们、捏造各样坏话毁谤你们，你们就有福了；
马太福音5:12	　应当欢喜快乐，因为你们在天上的赏赐是大的；在你们以前的先知，人也是这样逼迫他们。
马太福音5:13	　你们是世上的盐；盐若失了味，怎能叫它再咸呢？以后无用，不过丢在外面，被人践踏了。
马太福音5:14	　你们是世上的光。城造在山上是不能隐藏的。
马太福音5:15	　人点灯，不放在斗底下，是放在灯台上，就照亮一家的人。
马太福音5:16	　你们的光也当这样照在人前，叫他们看见你们的好行为，便将荣耀归给你们在天上的父。
马太福音5:17	　莫想我来要废掉律法和先知。我来不是要废掉，乃是要成全；
马太福音5:18	　我实在告诉你们，就是到天地都废去了，律法的一点一画也不能废去，都要成全。
马太福音5:19	　所以，无论何人废掉这诫命中最小的一条，又教导人这样做，他在天国要称为最小的。但无论何人遵行这诫命，又教导人遵行，他在天国要称为大的。
马太福音5:20	　我告诉你们，你们的义若不胜于文士和法利赛人的义，断不能进天国。
马太福音5:21	　你们听见有吩咐古人的话，说：不可杀人。又说：凡杀人的难免受审判。
马太福音5:22	　只是我告诉你们，凡向弟兄动怒的，难免受审判；凡骂弟兄是拉加的，难免公会的审断；凡骂弟兄是魔利的，难免地狱的火。
马太福音5:23	　所以，你在祭坛上献礼物的时候，若想起弟兄向你怀怨，
马太福音5:24	　就把礼物留在坛前，先去同弟兄和好，然后来献礼物。
马太福音5:25	　你同告你的对头还在路上，就赶紧与他和息，恐怕他把你送给审判官，审判官交付衙役，你就下在监里了。
马太福音5:26	　我实在告诉你，若有一文钱没有还清，你断不能从那里出来。
马太福音5:27	　你们听见有话说，不可奸淫；
马太福音5:28	　只是我告诉你们，凡看见妇女就动淫念的，这人心里已经与她犯奸淫了。
马太福音5:29	　若是你的右眼叫你跌倒，就剜出来丢掉；宁可失去百体中的一体，不叫全身丢在地狱里。
马太福音5:30	　若是右手叫你跌倒，就砍下来丢掉；宁可失去百体中的一体，不叫全身下入地狱。
马太福音5:31	　又有话说，人若休妻，就当给她休书。
马太福音5:32	　只是我告诉你们，凡休妻的，若不是为淫乱的缘故，就是叫她作淫妇了；人若娶这被休的妇人，也是犯奸淫了。
马太福音5:33	　你们又听见有吩咐古人的话说，不可背誓，所起的誓总要向主谨守；
马太福音5:34	　只是我告诉你们，什么誓都不可起，不可指着天起誓，因为天是神的座位；
马太福音5:35	　不可指着地起誓，因为地是他的脚凳；也不可指着耶路撒冷起誓，因为耶路撒冷是大君的京城；
马太福音5:36	　又不可指着你的头起誓，因为你不能使一根头发变黑变白了。
马太福音5:37	　你们的话，是就说是，不是就说不是，若再多说，就是出于那恶者。
马太福音5:38	　你们听见有话说，以眼还眼，以牙还牙；
马太福音5:39	　只是我告诉你们，不要与恶人作对，有人打你的右脸，连左脸也转过来由他打；
马太福音5:40	　有人想要告你，要拿你的里衣，连外衣也由他拿去；
马太福音5:41	　有人强逼你走一里路，你就同他走二里。
马太福音5:42	　有求你的，就给他，有向你借贷的，不可推辞。
马太福音5:43	　你们听见有话说，当爱你的邻舍，恨你的仇敌。
马太福音5:44	　只是我告诉你们，要爱你们的仇敌，为那逼迫你们的祷告。
马太福音5:45	　这样就可以作你们天父的儿子；因为他叫日头照好人，也照歹人；降雨给义人，也给不义的人。
马太福音5:46	　你们若单爱那爱你们的人，有什么赏赐呢？就是税吏不也是这样行吗？
马太福音5:47	　你们若单请你弟兄的安，比人有什么长处呢？就是外邦人不也是这样行吗？
马太福音5:48	　所以，你们要完全，像你们的天父完全一样。
马太福音6:1	　你们要小心，不可将善事行在人的面前，故意叫他们看见；若是这样，就不能得你们天父的赏赐了。
马太福音6:2	　所以你施舍的时候，不可在你前面吹号，像那假冒为善的人在会堂里和街道上所行的，故意要得人的荣耀。我实在告诉你们，他们已经得了他们的赏赐。
马太福音6:3	　你施舍的时候，不要叫左手知道右手所做的；
马太福音6:4	　要叫你施舍的事行在暗中，你父在暗中察看，必然报答你。
马太福音6:5	　你们祷告的时候，不可像那假冒为善的人，爱站在会堂里和十字路口上祷告，故意叫人看见。我实在告诉你们，他们已经得了他们的赏赐。
马太福音6:6	　你祷告的时候，要进你的内屋，关上门，祷告你在暗中的父，你父在暗中察看，必然报答你。
马太福音6:7	　你们祷告，不可像外邦人，用许多重复话，他们以为话多了必蒙垂听。
马太福音6:8	　你们不可效法他们；因为你们没有祈求以先，你们所需用的，你们的父早已知道了。
马太福音6:9	　所以你们祷告要这样说：我们在天上的父，愿人都尊你的名为圣。
马太福音6:10	　愿你的国降临。愿你的旨意行在地上，如同行在天上。
马太福音6:11	　我们日用的饮食，今日赐给我们。
马太福音6:12	　免我们的债，如同我们免了人的债。
马太福音6:13	　不叫我们遇见试探，救我们脱离凶恶。因为国度、权柄、荣耀，全是你的，直到永远。阿们。
马太福音6:14	　你们饶恕人的过犯，你们的天父也必饶恕你们的过犯。
马太福音6:15	　你们不饶恕人的过犯，你们的天父也必不饶恕你们的过犯。
马太福音6:16	　你们禁食的时候，不可像那假冒为善的人，脸上带着愁容；因为他们把脸弄得难看，故意叫人看出他们是禁食。我实在告诉你们，他们已经得了他们的赏赐。
马太福音6:17	　你禁食的时候，要梳头洗脸；
马太福音6:18	　不叫人看出你禁食来，只叫你暗中的父看见；你父在暗中察看，必然报答你。
马太福音6:19	　不要为自己积攒财宝在地上，地上有虫子咬，能锈坏，也有贼挖窟窿来偷；
马太福音6:20	　只要积攒财宝在天上，天上没有虫子咬，不能锈坏，也没有贼挖窟窿来偷。
马太福音6:21	　因为你的财宝在哪里，你的心也在那里。
马太福音6:22	　眼睛就是身上的灯。你的眼睛若了亮，全身就光明；
马太福音6:23	　你的眼睛若昏花，全身就黑暗。你里头的光若黑暗了，那黑暗是何等大呢！
马太福音6:24	　一个人不能事奉两个主；不是恶这个、爱那个，就是重这个、轻那个。你们不能又事奉神，又事奉玛门。
马太福音6:25	　所以我告诉你们，不要为生命忧虑吃什么、喝什么，为身体忧虑穿什么。生命不胜于饮食吗？身体不胜于衣裳吗？
马太福音6:26	　你们看那天上的飞鸟，也不种，也不收，也不积蓄在仓里，你们的天父尚且养活它，你们不比飞鸟贵重得多吗？
马太福音6:27	　你们哪一个能用思虑，使寿数多加一刻呢？
马太福音6:28	　何必为衣裳忧虑呢？你想，野地里的百合花怎么长起来？它也不劳苦，也不纺线。
马太福音6:29	　然而我告诉你们，就是所罗门极荣华的时候，他所穿戴的，还不如这花一朵呢。
马太福音6:30	　你们这小信的人哪！野地里的草，今天还在，明天就丢在炉里，神还给它这样的妆饰，何况你们呢。
马太福音6:31	　所以不要忧虑说，吃什么？喝什么？穿什么？
马太福音6:32	　这都是外邦人所求的。你们需用的这一切东西，你们的天父是知道的。
马太福音6:33	　你们要先求他的国和他的义，这些东西都要加给你们了。
马太福音6:34	　所以不要为明天忧虑，因为明天自有明天的忧虑，一天的难处一天当就够了。
马太福音7:1	　你们不要论断人，免得你们被论断。
马太福音7:2	　因为你们怎样论断人，也必怎样被论断；你们用什么量器量给人，也必用什么量器量给你们。
马太福音7:3	　为什么看见你弟兄眼中有刺，却不想自己眼中有梁木呢？
马太福音7:4	　你自己眼中有梁木，怎能对你弟兄说，容我去掉你眼中的刺呢？
马太福音7:5	　你这假冒为善的人，先去掉自己眼中的梁木，然后才能看得清楚，去掉你弟兄眼中的刺。
马太福音7:6	　不要把圣物给狗，也不要把你们的珍珠丢在猪前，恐怕它践踏了珍珠，转过来咬你们。
马太福音7:7	　你们祈求，就给你们；寻找，就寻见；叩门，就给你们开门。
马太福音7:8	　因为凡祈求的，就得着；寻找的，就寻见；叩门的，就给他开门。
马太福音7:9	　你们中间谁有儿子求饼，反给他石头呢？
马太福音7:10	　求鱼，反给他蛇呢？
马太福音7:11	　你们虽然不好，尚且知道拿好东西给儿女，何况你们在天上的父，岂不更把好东西给求他的人吗？
马太福音7:12	　所以无论何事，你们愿意人怎样待你们，你们也要怎样待人，因为这就是律法和先知的道理。
马太福音7:13	　你们要进窄门；因为引到灭亡那门是宽的，路是大的，进去的人也多；
马太福音7:14	　引到永生那门是窄的，路是小的，找着的人也少。
马太福音7:15	　你们要防备假先知；他们到你们这里来，外面披着羊皮，里面却是残暴的狼。
马太福音7:16	　凭着他们的果子，就可以认出他们来。荆棘上岂能摘葡萄呢？蒺藜里岂能摘无花果呢？
马太福音7:17	　这样，凡好树都结好果子，唯独坏树结坏果子。
马太福音7:18	　好树不能结坏果子，坏树不能结好果子。
马太福音7:19	　凡不结好果子的树，就砍下来，丢在火里。
马太福音7:20	　所以凭着他们的果子，就可以认出他们来。
马太福音7:21	　凡称呼我主啊主啊的人不能都进天国；唯独遵行我天父旨意的人，才能进去。
马太福音7:22	　当那日必有许多人对我说，主啊，主啊，我们不是奉你的名传道，奉你的名赶鬼，奉你的名行许多异能吗？
马太福音7:23	　我就明明地告诉他们说：我从来不认识你们；你们这些作恶的人，离开我去吧。
马太福音7:24	　所以，凡听见我这话就去行的，好比一个聪明人，把房子盖在磐石上；
马太福音7:25	　雨淋，水冲，风吹，撞着那房子，房子总不倒塌，因为根基立在磐石上。
马太福音7:26	　凡听见我这话不去行的，好比一个无知的人，把房子盖在沙土上；
马太福音7:27	　雨淋，水冲，风吹，撞着那房子，房子就倒塌了，并且倒塌得很大。
马太福音7:28	　耶稣讲完了这些话，众人都希奇他的教训；
马太福音7:29	　因为他教导他们，正像有权柄的人，不像他们的文士。
马太福音8:1	　耶稣下了山，有许多人跟着他。
马太福音8:2	　有一个长大麻疯的来拜他，说：主若肯，必能叫我洁净了。
马太福音8:3	　耶稣伸手摸他，说：我肯，你洁净了吧！他的大麻疯立刻就洁净了。
马太福音8:4	　耶稣对他说：你切不可告诉人，只要去把身体给祭司察看，献上摩西所吩咐的礼物，对众人作证据。
马太福音8:5	　耶稣进了迦百农，有一个百夫长进前来，求他说：
马太福音8:6	　主啊，我的仆人害瘫痪病，躺在家里，甚是疼苦。
马太福音8:7	　耶稣说：我去医治他。
马太福音8:8	　百夫长回答说：主啊，你到我舍下，我不敢当；只要你说一句话，我的仆人就必好了。
马太福音8:9	　因为我在人的权下，也有兵在我以下；对这个说：去！他就去；对那个说：来！他就来；对我的仆人说：你做这事！他就去做。
马太福音8:10	　耶稣听见就希奇，对跟从的人说：我实在告诉你们，这么大的信心，就是在以色列中，我也没有遇见过。
马太福音8:11	　我又告诉你们，从东从西，将有许多人来，在天国里与亚伯拉罕、以撒、雅各一同坐席；
马太福音8:12	　唯有本国的子民竟被赶到外边黑暗里去，在那里必要哀哭切齿了。
马太福音8:13	　耶稣对百夫长说：你回去吧！照你的信心，给你成全了。那时，他的仆人就好了。
马太福音8:14	　耶稣到了彼得家里，见彼得的岳母害热病躺着。
马太福音8:15	　耶稣把她的手一摸，热就退了；她就起来服事耶稣。
马太福音8:16	　到了晚上，有人带着许多被鬼附的来到耶稣跟前，他只用一句话就把鬼都赶出去，并且治好了一切有病的人。
马太福音8:17	　这是要应验先知以赛亚的话，说：他代替我们的软弱，担当我们的疾病。
马太福音8:18	　耶稣见许多人围着他，就吩咐渡到那边去。
马太福音8:19	　有一个文士来，对他说：夫子，你无论往哪里去，我要跟从你。
马太福音8:20	　耶稣说：狐狸有洞，天空的飞鸟有窝，人子却没有枕头的地方。
马太福音8:21	　又有一个门徒对耶稣说：主啊，容我先回去埋葬我的父亲。
马太福音8:22	　耶稣说：任凭死人埋葬他们的死人；你跟从我吧！
马太福音8:23	　耶稣上了船，门徒跟着他。
马太福音8:24	　海里忽然起了暴风，甚至船被波浪掩盖；耶稣却睡着了。
马太福音8:25	　门徒来叫醒了他，说：主啊，救我们，我们丧命啦！
马太福音8:26	　耶稣说：你们这小信的人哪，为什么胆怯呢？于是起来，斥责风和海，风和海就大大地平静了。
马太福音8:27	　众人希奇，说：这是怎样的人？连风和海也听从他了！
马太福音8:28	　耶稣既渡到那边去，来到加大拉人的地方，就有两个被鬼附的人从坟茔里出来迎着他，极其凶猛，甚至没有人能从那条路上经过。
马太福音8:29	　他们喊着说：神的儿子，我们与你有什么相干？时候还没有到，你就上这里来叫我们受苦吗？
马太福音8:30	　离他们很远，有一大群猪吃食。
马太福音8:31	　鬼就央求耶稣，说：若把我们赶出去，就打发我们进入猪群吧！
马太福音8:32	　耶稣说：去吧！鬼就出来，进入猪群。全群忽然闯下山崖，投在海里淹死了。
马太福音8:33	　放猪的就逃跑进城，将这一切事和被鬼附的人所遭遇的都告诉人。
马太福音8:34	　合城的人都出来迎见耶稣，既见了，就央求他离开他们的境界。
马太福音9:1	　耶稣上了船，渡过海，来到自己的城里。
马太福音9:2	　有人用褥子抬着一个瘫子到耶稣跟前来。耶稣见他们的信心，就对瘫子说：小子，放心吧！你的罪赦了。
马太福音9:3	　有几个文士心里说：这个人说僭妄的话了。
马太福音9:4	　耶稣知道他们的心意，就说：你们为什么心里怀着恶念呢？
马太福音9:5	　或说：你的罪赦了！或说：你起来行走！哪一样容易呢？
马太福音9:6	　但要叫你们知道，人子在地上有赦罪的权柄。就对瘫子说：起来！拿你的褥子回家去吧。
马太福音9:7	　那人就起来，回家去了。
马太福音9:8	　众人看见都惊奇，就归荣耀与神，因为他将这样的权柄赐给人。
马太福音9:9	　耶稣从那里往前走，看见一个人名叫马太，坐在税关上，就对他说：你跟从我来。他就起来，跟从了耶稣。
马太福音9:10	　耶稣在屋里坐席的时候，有好些税吏和罪人来，与耶稣和他的门徒一同坐席。
马太福音9:11	　法利赛人看见，就对耶稣的门徒说：你们的先生为什么和税吏并罪人一同吃饭呢？
马太福音9:12	　耶稣听见，就说：健康的人用不着医生，有病的人才用得着。
马太福音9:13	　经上说：我喜爱怜恤，不喜爱祭祀。这句话的意思，你们且去揣摩。我来本不是召义人，乃是召罪人。
马太福音9:14	　那时，约翰的门徒来见耶稣，说：我们和法利赛人常常禁食，你的门徒倒不禁食，这是为什么呢？
马太福音9:15	　耶稣对他们说：新郎和陪伴之人同在的时候，陪伴之人岂能哀恸呢？但日子将到，新郎要离开他们，那时候他们就要禁食。
马太福音9:16	　没有人把新布补在旧衣服上；因为所补上的反带坏了那衣服，破的就更大了。
马太福音9:17	　也没有人把新酒装在旧皮袋里；若是这样，皮袋就裂开，酒漏出来，连皮袋也坏了；唯独把新酒装在新皮袋里，两样就都保全了。
马太福音9:18	　耶稣说这话的时候，有一个管会堂的来拜他，说：我女儿刚才死了，求你去按手在她身上，她就必活了。
马太福音9:19	　耶稣便起来跟着他去；门徒也跟了去。
马太福音9:20	　有一个女人，患了十二年的血漏，来到耶稣背后，摸他的衣裳繸子；
马太福音9:21	　因为她心里说：我只摸他的衣裳，就必痊愈。
马太福音9:22	　耶稣转过来看见她，就说：女儿，放心！你的信救了你。从那时候，女人就痊愈了。
马太福音9:23	　耶稣到了管会堂的家里，看见有吹手，又有许多人乱嚷，
马太福音9:24	　就说：退去吧！这闺女不是死了，是睡着了。他们就嗤笑他。
马太福音9:25	　众人既被撵出，耶稣就进去，拉着闺女的手，闺女便起来了。
马太福音9:26	　于是这风声传遍了那地方。
马太福音9:27	　耶稣从那里往前走，有两个瞎子跟着他，喊叫说：大卫的子孙，可怜我们吧！
马太福音9:28	　耶稣进了房子，瞎子就来到他跟前。耶稣说：你们信我能做这事吗？他们说：主啊，我们信。
马太福音9:29	　耶稣就摸他们的眼睛，说：照着你们的信给你们成全了吧。
马太福音9:30	　他们的眼睛就开了。耶稣切切地嘱咐他们说：你们要小心，不可叫人知道。
马太福音9:31	　他们出去，竟把他的名声传遍了那地方。
马太福音9:32	　他们出去的时候，有人将鬼所附的一个哑巴带到耶稣跟前来。
马太福音9:33	　鬼被赶出去，哑巴就说出话来。众人都希奇，说：在以色列中，从来没有见过这样的事。
马太福音9:34	　法利赛人却说：他是靠着鬼王赶鬼。
马太福音9:35	　耶稣走遍各城各乡，在会堂里教导人，宣讲天国的福音，又医治各样的病症。
马太福音9:36	　他看见许多的人，就怜悯他们；因为他们困苦流离，如同羊没有牧人一般。
马太福音9:37	　于是对门徒说：要收的庄稼多，做工的人少。
马太福音9:38	　所以，你们当求庄稼的主打发工人出去收他的庄稼。
马太福音10:1	　耶稣叫了十二个门徒来，给他们权柄，能赶逐污鬼，并医治各样的病症。
马太福音10:2	　这十二使徒的名：头一个叫西门，又称彼得，还有他兄弟安得烈；西庇太的儿子雅各，和雅各的兄弟约翰；
马太福音10:3	　腓力和巴多罗买；多马和税吏马太；亚勒腓的儿子雅各，和达太；
马太福音10:4	　奋锐党的西门，还有卖耶稣的加略人犹大。
马太福音10:5	　耶稣差这十二个人去，吩咐他们说：外邦人的路，你们不要走；撒马利亚人的城，你们不要进；
马太福音10:6	　宁可往以色列家迷失的羊那里去。
马太福音10:7	　随走随传，说：天国近了！
马太福音10:8	　医治病人，叫死人复活，叫长大麻疯的洁净，把鬼赶出去。你们白白地得来，也要白白地舍去。
马太福音10:9	　腰袋里不要带金银铜钱；
马太福音10:10	　行路不要带口袋；不要带两件褂子，也不要带鞋和拐杖。因为工人得饮食是应当的。
马太福音10:11	　你们无论进哪一城、哪一村，要打听那里谁是好人，就住在他家，直住到走的时候。
马太福音10:12	　进他家里去，要请他的安。
马太福音10:13	　那家若配得平安，你们所求的平安就必临到那家；若不配得，你们所求的平安仍归你们。
马太福音10:14	　凡不接待你们、不听你们话的人，你们离开那家或是那城的时候，就把脚上的尘土跺下去。
马太福音10:15	　我实在告诉你们，当审判的日子，所多玛和蛾摩拉所受的，比那城还容易受呢！
马太福音10:16	　我差你们去，如同羊进入狼群；所以你们要灵巧像蛇，驯良像鸽子。
马太福音10:17	　你们要防备人；因为他们要把你们交给公会，也要在会堂里鞭打你们，
马太福音10:18	　并且你们要为我的缘故被送到诸侯君王面前，对他们和外邦人作见证。
马太福音10:19	　你们被交的时候，不要思虑怎样说话，或说什么话。到那时候，必赐给你们当说的话；
马太福音10:20	　因为不是你们自己说的，乃是你们父的灵在你们里头说的。
马太福音10:21	　弟兄要把弟兄，父亲要把儿子，送到死地；儿女要与父母为敌，害死他们；
马太福音10:22	　并且你们要为我的名被众人恨恶；唯有忍耐到底的，必然得救。
马太福音10:23	　有人在这城里逼迫你们，就逃到那城里去。我实在告诉你们，以色列的城邑，你们还没有走遍，人子就到了。
马太福音10:24	　学生不能高过先生；仆人不能高过主人。
马太福音10:25	　学生和先生一样，仆人和主人一样，也就罢了。人既骂家主是别西卜，何况他的家人呢？
马太福音10:26	　所以，不要怕他们；因为掩盖的事没有不露出来的，隐藏的事没有不被人知道的。
