摩西书1:1	这些是摩西被提到一座非常高的山上时，神对摩西说的话，
摩西书2:9	我，神说：天下的诸水要聚在一处，事就成了；我，神，说：要有干土；事就成了。
摩西书2:10	我，神，称干土为地；称诸水的汇聚处为海；我，神，看到我造的一切都是好的。
摩西书2:11	我，神说：地要长出青草、结种子的草本植物、结果子的果树，各从其类，以及在地上结果子而其种子在果子里的树木，事就照我所说的成了。
摩西书2:12	于是地长出了青草、一切结种子的草本植物，各从其类，以及结果子而其种子在果子里的树木，各从其类；我，神，看到我造的一切都是好的；
摩西书2:13	有晚上，有早晨，这是第三日。
摩西书2:14	然后我，神说：天上的穹苍中要有光体，以分昼夜，它们要当作记号，定节令、日子、年岁；
摩西书2:15	它们要在天上的穹苍中发光，照在地上；事就成了。
摩西书2:16	于是我，神，造了两个大光；较大的光体管理白昼，较小的光体管理黑夜，较大的光体是太阳，较小的光体是月亮；众星也照我的话造了。
摩西书2:17	我，神，把这些光体摆列在天上的穹苍中，普照在地上，
摩西书2:18	太阳管理白昼，月亮管理黑夜，以分别明暗；我，神，看到我造的一切都是好的；
摩西书2:19	有晚上，有早晨，这是第四日。
摩西书2:20	然后我，神说：水要多多滋生有生命的动物；要有鸟在地面之上广阔的空中飞翔。
摩西书2:21	于是我，神，就创造出大鲸鱼和水中多多滋生的各样有生命的动物，各从其类；和各样飞鸟，各从其类；我，神，看到我创造的一切都是好的。
摩西书2:22	然后我，神，就祝福这一切，说：生养众多，充满海中的水；鸟也要在地上繁殖；
摩西书2:23	有晚上，有早晨，这是第五日。
摩西书2:24	然后我，神说：地要生出活物来，各从其类；牲畜、爬行动物、地上的走兽，各从其类，事就成了；
摩西书2:25	于是我，神，造了地上的走兽，各从其类；牲畜，各从其类；地上爬行的一切，各从其类；我，神，看到这一切都是好的。
摩西书2:26	然后我，神，对那从太初就与我同在的我的独生子说：我们要照着我们的形像、按着我们的样式造人；事就成了。然后我，神，说：他们要管辖海里的鱼、空中的鸟、地上的牲畜，和全地，并地上爬的一切爬行动物。
摩西书2:27	于是我，神，就照着我自己的形像创造人，照着我独生子的形像创造人；我创造男的和女的。
摩西书2:28	然后我，神，祝福他们，并对他们说：生养众多，遍满地面，治理这地，也要管辖海里的鱼、空中的鸟，和在地上活动的各样活物。
摩西书2:29	然后我，神，对人说：看啊，我将全地面上一切结种子的草本植物，和一切结有那树种子之果子的树，全给你们作食物。
摩西书2:30	至于地上的一切走兽和空中的一切飞鸟，并地上爬的一切我赋予生命的物，将有各种洁净的草给它们作食物；事就照我所说的成了。
摩西书2:31	然后我，神，看到我造的一切，并且，看啊，我造的一切都非常好；有晚上，有早晨，这是第六日。
摩西书3:1	这样，天地和其中所有的事物都完成了。
摩西书3:2	到了第七日，我，神，结束了我的工作，和我造的一切；我就在第七日歇了我一切的工，安息了，而我造的一切都完成了，我，神，看到它们都是好的；
摩西书3:3	然后我，神，祝福第七日，并将它圣化；因为在这日我歇了我，神，一切创造的工，安息了。
摩西书3:4	现在，看啊，我告诉你，以上就是我，主神，在造天地的日子，创造天地的来历；
摩西书3:5	地上的田野还没有植物，田野的草本植物还没有长起来。我，主神，在我说的所有的事物还没有以属世的状态存在于地面上之前，我已在属灵上创造了它们。我，主神，还没有降雨在地面上。我，主神，已创造了所有的人类儿女，但是还没有人耕地；我在天上创造了他们；地上还没有肉身，水里没有，空中也没有；
摩西书3:6	但我，主神，说话，就有雾气从地上腾，滋润遍地。
摩西书3:7	然后我，主神，用地上的尘土造人，将生命气息吹在他鼻孔里，他就成了活着的灵魂，是地上的第一个肉身，也是第一个人；然而，一切事物都是以前创造好的，但他们是在属灵上按照我的话创造及造的。
摩西书3:8	我，主神，在东方的伊甸立了一个园子，把所造的人安置在那里。
摩西书3:9	我，主神，在属世上使各样的树从地里长出来，可以悦人眼目；而人可以看到树。它也成了活着的灵魂。我创造它的日子，它是属灵的；它留在我，神，创造它的范围里，是的，甚至一切事物都是我准备供人使用的；人看它适合作食物。我，主神，也在园子当中种了生命树，也种了分别善恶树。
摩西书3:10	我，主神，使一条河从伊甸流出来滋润那园子；从那里分为四道。
摩西书3:11	我，主神，称第一道为比逊，它环绕哈腓拉全地，我，主神，在那里创造了很多金子；
摩西书3:12	那地的金子是好的；在那里又有珍珠和红玛瑙。
摩西书3:13	第二道河名叫基训；就是环绕古实全地的。
摩西书3:14	第三道河名为底格里斯，流向亚述的东边。第四道河是幼发拉底河。
摩西书3:15	然后我，主神，领着那人，将他安置在伊甸园，让他整理并看守。
摩西书3:16	我，主神，命令那人说：园中各样树上的果子，你可以随意吃，
摩西书3:17	只是分别善恶树上的果子，你不可以吃，然而，你可以为你自己选择，因为那已给了你，但是，记住我禁止你吃，因为你吃的那日你必定死。
摩西书3:18	我，主神，对我独生子说，那人独居不好；所以我要为他造一个合适的帮手。
摩西书3:19	我，主神，用土造了野地各样的走兽，和空中各样的飞鸟；并且命令它们到亚当那里，看亚当叫它们什么；它们也是活着的灵魂；因为我，神，将生命气息吹进它们里面，并且命令说，亚当怎样叫各样活物，那就是它的名字。
摩西书3:20	亚当便给一切牲畜和空中飞鸟、野地走兽都起了名，但是亚当没有遇见合适他的帮手。
摩西书3:21	我，主神，使亚当沉睡；他睡着了，我就取下他一条肋骨，然后又把那里的肉合起来；
摩西书3:22	我，主神，用取自那人身上的肋骨，造了一个女人，并带她到那人面前。
摩西书3:23	亚当说：我现在知道，这是我骨中的骨，肉中的肉；她要被称为女人，因为她是从男人身上取出来的。
摩西书3:24	因此，人要离开父母，与妻子连合，二人成为一体。
摩西书3:25	当时夫妻二人赤身露体，并不羞耻。
摩西书4:1	我，主神，对摩西说：你奉我独生子的名命令的撒但，就是从太初起就存在的同一位，他曾到我面前说——看啊，我在这里，派遣我，我要作您的儿子，我要救赎全人类，使一个灵魂都不失落，我一定会做；所以把您的荣誉给我。
摩西书4:2	但是，看啊，我的爱子——我从太初就挚爱和拣选的，对我说——父啊，愿您的旨意得成，愿荣耀永远归于您。
摩西书4:3	因为撒但背叛我，寻求破坏我，主神，给世人的选择权，而且还要我将自己的能力给他；所以我借我独生子的能力，使他被抛下去；
摩西书4:4	于是他就成了撒但，是的，就是魔鬼，一切谎言之父，欺骗和蒙蔽世人，并且随他的意引导他们成为俘虏，就是所有不听我声音的人。
摩西书4:5	我，主神，所造的田野的活物中，蛇比一切更狡猾。
摩西书4:6	撒但将那主意放入蛇心中，（因他已吸引很多人跟随他，）又寻求引诱夏娃，因他不知道神的意念，所以他寻求毁灭世界。
摩西书4:7	他对女人说：是的，神岂曾说过——不许你们吃园中各种树上的果子？（他借蛇的口说话。）
摩西书4:8	女人对蛇说：园中树上的果子，我们可以吃；
摩西书4:9	唯有园中你看到的那棵树上的果子，神曾说——你们不可吃，也不可摸，免得你们死。
摩西书4:10	蛇对女人说：你不一定会死；
摩西书4:11	因为神知道，你们吃的日子，你们的眼睛就张开了，你们就会像众神那样，知道善恶。
摩西书4:12	于是女人见那棵树的果子好作食物，也悦人的眼目，且是可喜爱的，能使她有智慧，就摘下果子来吃了，又给她丈夫，他也吃了。
摩西书4:13	他们二人的眼睛都张开了，才知道自己原来赤身露体，便拿无花果树的叶子为自己编做围裙。
摩西书4:14	那日天凉的时候，他们在园中行走，听到主神的声音；亚当和他妻子就躲在园里的树丛中，躲避主神的面。
摩西书4:15	我，主神，呼唤亚当，对他说：你去哪里了？
摩西书4:16	他说：我在园中听到您的声音，我就害怕，因为我看到我赤身露体，就躲起来了。
摩西书4:17	我，主神，对亚当说：谁说你赤身露体呢？莫非你吃了我命令你不可吃的那棵树上的果子？而如果你吃了，你必定死。
摩西书4:18	那人说：您给我并命令要和我住在一起的女人，她把那树上的果子给我，我就吃了。
摩西书4:19	我，主神，对女人说：你做的是什么事呢？女人说：那蛇引诱我，我就吃了。
摩西书4:20	我，主神，对蛇说：你既做了这事，就必受咒诅，比一切田野的牲畜和野兽更甚；你必用肚子行走，终身吃土；
摩西书4:21	我又要叫你和女人彼此为仇，你的后裔和女人的后裔也彼此为仇；他要伤你的头，而你要伤他的脚跟。
摩西书4:22	我，主神，又对女人说：我必多多加增你怀胎的苦楚；你生产儿女必受苦楚。你必恋慕你丈夫；他必管辖你。
摩西书4:23	我，主神，又对亚当说：你既听从妻子的声音，吃了我命令你说——你不可吃的那果子，地必为你的缘故受咒诅；你必终身劳苦才能从地里得着吃的。
摩西书4:24	地必给你长出荆棘和蒺藜；你也要吃田间的草本植物。
摩西书4:25	你必汗流满面才得糊口，直到你归了土——你必定会死——因为你是从土而出的；你本是尘土，仍要归于尘土。
摩西书4:26	亚当给他妻子起名叫夏娃，因为她是众生之母；我，主神，就这样称呼所有女人中的第一人，她们有很多。
摩西书4:27	我，主神，为亚当和他妻子用皮做衣服给他们穿。
摩西书4:28	我，主神，对我独生子说：看啊，那人已经与我们相似，知道善恶；现在恐怕他伸手又摘生命树的果子吃，而永远活着，
摩西书4:29	所以，我，主神，便打发他出伊甸园去，耕种他所自出之土；
摩西书4:30	正如我，主神，活着一样，我的话不能落空，因为我的话出了口就必须实现。
摩西书4:31	于是我把那人赶出去，又在伊甸园的东边，安置基路伯和各面转动发火焰的剑，把守生命树的道路。
摩西书4:32	（这些是我对我仆人摩西说的话，这些话是真实的，都是照我的意思；我已将这些话告诉你了。除了相信的人以外，切勿向任何人显示这些话，直到我命令你。阿们。）
摩西书5:1	事情是这样的，我，主神，把他们赶出去后，亚当就开始耕地，管理野地里的一切走兽，照我，主，命令的，汗流满额，才能糊口。他妻子夏娃也与他一起劳动。
摩西书5:2	亚当与他妻子同房，她就为他生了儿子和女儿，他们开始生养众多，遍满地面。
摩西书5:3	从那时起，亚当的儿子们和女儿们就开始在地上两个两个分开，耕种土地，照管羊群，他们也生养儿女。
摩西书5:4	亚当和他妻子夏娃呼求主的名，他们听到主的声音，来自往伊甸园的路上，对他们说话，但是他们看不到祂；因为他们从祂面前被隔离了。
摩西书5:5	祂给他们诫命，要他们崇拜主他们的神，并将他们羊群中头生的献出来，作为对主的献祭。亚当对主的诫命都是服从的。
摩西书5:6	许多天后，主的一位天使向亚当显现，说：你为什么向主献祭？亚当对他说：我不知道，我只知道主命令我。
摩西书5:7	然后天使说：这件事就好像父的独生子的牺牲，祂充满恩典与真理。
摩西书5:8	所以，你做的一切事都要奉子的名去做，你要悔改，并且永永远远奉子的名呼求神。
摩西书5:9	那天，为父与子作见证的圣灵，降在亚当身上，说：我从太初就是父的独生子，今后永远都是，因为你已坠落，你可以得到救赎，还有全人类，凡是愿意的都可以。
摩西书5:10	那天亚当赞颂神，而且被充满了，就开始预言有关地上所有家族的事，说：神的名是应当称颂的，因为我的违诫，眼睛就张开了，今生我必有快乐，我也必在肉身中再得见神。
摩西书5:11	他的妻子夏娃听到这一切，就高兴了，说：要不是我们违诫，我们永远不会有子孙，永远不知道善恶、我们被救赎的快乐，和神给所有服从者的永生。
摩西书5:12	亚当和夏娃赞颂了神的名，就将一切事情告知他们的儿女。
摩西书5:13	撒但来到他们中间说：我也是神的儿子；接着他命令他们说：不要相信那些事；他们就不相信，他们爱撒但甚于爱神。从那时起世人就成为俗欲、肉欲、魔鬼似的。
摩西书5:14	主神借圣灵在各地呼唤世人，命令他们，他们应当悔改；
摩西书5:15	凡是相信子又悔改他们的罪的，必然得救；凡是不相信又不悔改的，必被定罪；这些话以坚定的命令从神的口出去了，所以一定要应验。
摩西书5:16	亚当和他妻子夏娃不停止呼求神。亚当和他妻子夏娃同房，她怀孕，生了该隐，说：我从主那里得了一个男子，所以他可能不会拒绝祂的话。但是，看啊，该隐不听，说：主是谁，而我应认识祂吗？
摩西书5:17	后来她又怀孕，生了他的弟弟亚伯。亚伯听从主的声音。亚伯是牧羊的；该隐是种地的。
摩西书5:18	该隐爱撒但甚于爱神。撒但命令他说：向主献供祭。
摩西书5:19	一段时间以后，事情是这样的，该隐拿地里的出产为供物献给主。
摩西书5:20	亚伯也将他羊群中头生的和羊的脂油献上。主看中了亚伯和他的供物；
摩西书5:21	只是看不中该隐和他的供物。撒但知道这件事后，心里很高兴。而该隐就大大地发怒，变了脸色。
摩西书5:22	主对该隐说：你为什么发怒呢？你为什么变了脸色呢？
摩西书5:23	你若行得好，你就蒙悦纳。你若行得不好，罪就伏在门前，而撒但渴望得到你；除非你听从我的诫命，我必将你交出去，那就会按照他的渴望临到你。而你将统治他；
摩西书5:24	从此以后，你将成为他的谎言之父；你将叫作沉沦；因为你也是创世以前就有的。
摩西书5:25	将来必有话这么说——这些憎行是从该隐来的；他拒绝了从神而来的更重大的劝告；而这就是我放在你身上的诅咒，除非你悔改。
摩西书5:26	该隐发怒，不再听主的声音，也不听他那在圣洁中行走在主面前的弟弟亚伯。
摩西书5:27	亚当和他妻子因为该隐和他的兄弟，而在主面前悲伤。
摩西书5:28	事情是这样的，该隐娶了他兄弟一个女儿为妻，他们爱撒但甚于爱神。
摩西书5:29	撒但对该隐说：指着你的喉咙向我起誓，如果你将此事说出去，你就会死；也要你的兄弟指着他们的头和活着的神起誓，绝不说出去；因为如果他们说出去，他们一定会死；这样你父亲就不会知道，而我今天就要将你弟弟亚伯交在你手中。
摩西书5:30	撒但向该隐起誓说，他会照他的命令去做。这一切事都在秘密中完成。
摩西书5:31	该隐说：的确，我是蚂汗，这大秘密的主子，我可以谋杀而获利。所以该隐就叫作主子蚂汗，他因自己的邪恶而自夸。
摩西书5:32	该隐到田里，与他弟弟亚伯说话。事情是这样的，他们正在田里的时候，该隐起来打他弟弟亚伯，把他杀了。
摩西书5:33	该隐因他所做的事而得意，说：我自由了；我弟弟的羊群一定落入我手里。
摩西书5:34	主对该隐说：你弟弟亚伯在哪里？他说：我不知道！我岂是看守我兄弟的人吗？
摩西书5:35	主说：你做了什么事呢？你弟弟之血的声音从地里向我哀告。
摩西书5:36	地开了口，从你手里接受你弟弟的血，现在你必从这地受诅咒。
摩西书5:37	你种地，地不再给你效力；你必流离飘荡在地上。
摩西书5:38	该隐对主说：撒但用我弟弟的羊群诱惑我。而我也发怒，因为您悦纳他的供物，而不是我的；我的惩罚大于我所能承受的。
摩西书5:39	看啊，您今日将我从主的面前赶出，我必从您面前躲藏；我必流离飘荡在地上，事情将是这样，凡遇见我的，必因我的罪杀我，因为这些事都瞒不了主。
摩西书5:40	我，主对他说：凡杀你的，必遭报七倍。于是我，主就给该隐立一个记号，免得人遇见他就杀他。
摩西书5:41	于是该隐从主面前被隔离，与他妻子及他的许多兄弟住在伊甸东边挪得之地。
摩西书5:42	该隐与妻子同房，她怀孕，生了以诺，他还生了许多儿女。他建造了一座城，就按照他儿子的名，将那城叫作以诺。
摩西书5:43	以诺生以拿和其他儿女。以拿生米户雅利和其他儿女。米户雅利生玛土撒利和其他儿女。玛土撒利生拉麦。
摩西书5:44	拉麦娶了两个妻子：一个名叫亚大，一个名叫洗拉。
摩西书5:45	亚大生雅八；雅八就是住帐篷、牧养牲畜之人的祖师；雅八的兄弟名叫犹八；他是一切弹琴吹箫之人的祖师。
摩西书5:46	洗拉又生了土八·该隐；他是铜匠铁匠的师傅。土八·该隐的姊妹叫作拿玛。
摩西书5:47	拉麦对他两个妻子亚大和洗拉说：听我的声音；拉麦的妻子，细听我的话语；壮年人伤我，我把他杀了；少年人损我，我把他害了。
摩西书5:48	若杀该隐，遭报七倍，杀拉麦，必遭报七十七倍。
摩西书5:49	拉麦按照该隐的方式与撒但立约，他成了主子蚂汗，成了撒但授予该隐的那大秘密的主子；而以诺的儿子以拿，知道了他们的秘密，就开始向亚当的儿子们透露那秘密；
摩西书5:50	所以，拉麦发怒，就把他杀了，他不像该隐为了获利而杀了弟弟亚伯，他杀以拿是为了誓约。
摩西书5:51	于是，从该隐的时代起，就有了秘密帮派，他们在黑暗中行事，他们认识他们的每一个兄弟。
摩西书5:52	所以主诅咒拉麦、他的家族，和所有与撒但立约的人；因为他们不遵守神的诫命，令神不高兴，所以祂不施助他们，他们所做的是憎行，并且开始蔓延到人之众子当中，它就存在于人之众子当中。
摩西书5:53	这些事在人之众女当中没有提起，因为拉麦跟他的妻子们说了那秘密，而她们背叛他，向外宣扬这些事，并不同情；
摩西书5:54	所以，拉麦受鄙视，被赶出去，不到人之众子当中，免得被杀。
摩西书5:55	就这样，黑暗的行为就开始盛行于人之众子当中。
摩西书5:56	神用厉害的诅咒来诅咒大地，又对恶人发怒，对祂造的人之众子发怒；
摩西书5:57	因为他们不听祂的声音，也不相信祂的独生子，就是祂宣布说祂要在全盛时期来临，祂是从世界奠基以前就准备好的。
摩西书5:58	就这样，福音从太初就开始传播，借着从神面前派来的圣天使们宣布，也借着祂自己的声音，也借着圣灵的恩赐。
摩西书5:59	就这样，借着一项神圣的教仪，所有的事情都向亚当证实了，福音传播了，一条谕令发布了——福音要在世界上，直到世界的末了；就是这样。阿们。
摩西书6:1	亚当听从神的声音，并呼唤他的儿子们悔改。
摩西书6:2	亚当又与妻子同房，她生了一个儿子，他给他起名叫塞特。亚当归荣耀与神的名；因为他说：神另给我立了一个后嗣，代替被该隐杀死的亚伯。
摩西书6:3	神向塞特显示自己，他没有背叛，反而像他哥哥亚伯那样，献上可悦纳的祭。他也生了一个儿子，起名叫以挪士。
摩西书6:4	然后这些人开始呼求主的名，主就祝福他们；
摩西书6:5	他们写了一本纪念册，内容是用亚当的语文记载的，那是给所有呼求神的人，借感召之灵来写的；
摩西书6:6	他们教子女读书写字，他们有纯正而没有玷污的语文。
摩西书6:7	而这在太初就有的同样的圣职，在世界的末了也会有。
摩西书6:8	亚当在圣灵感动下说了这预言，并有一部关于神之儿女的族谱被记录下来。这是有关亚当后代的书，说：在神造人的日子里，祂是照着神的样式造的；
摩西书6:9	祂照着自己身体的形像创造他们，有男也有女，祂在神脚凳上的土地中创造他们成为活着的灵魂的日子，祝福他们，给他们取名叫亚当。
摩西书6:10	亚当活到一百三十岁，生了一个儿子，形像样式和自己相似，就给他起名叫塞特。
摩西书6:11	亚当生塞特之后，又在世八百年，并且生养许多儿女；
摩西书6:12	亚当共活了九百三十岁就死了。
摩西书6:13	塞特活到一百零五岁，生了以挪士；他终身说预言，并用神的方式教导他儿子以挪士；因此以挪士也说预言。
摩西书6:14	塞特生以挪士之后，又活了八百零七年，并且生养许多儿女。
摩西书6:15	人类儿女在整个地面上数目众多。在那些日子，撒但在世人当中有很大的势力，并在他们心中发狂；从那时起就有了战争和流血；人因为秘密的行为，以谋取权力，会用自己的手对付自己的兄弟，置人于死。
摩西书6:16	塞特共活了九百一十二岁就死了。
摩西书6:17	以挪士活到九十岁，生了该南。以挪士和神的其余人民，从那叫作舒隆的地方出来，住在他用自己儿子的名字命名的应许地上；他给那儿子起名叫该南。
摩西书6:18	以挪士生该南之后，又活了八百一十五年，并且生养许多儿女。以挪士共活了九百零五岁就死了。
摩西书6:19	该南活到七十岁，生了玛勒列；该南生玛勒列之后，又活了八百四十年，并且生养儿女。该南共活了九百一十岁就死了。
摩西书6:20	玛勒列活到六十五岁，生了雅列；玛勒列生雅列之后，又活了八百三十年，并且生养儿女。玛勒列共活了八百九十五岁就死了。
摩西书6:21	雅列活到一百六十二岁，生了以诺；雅列生以诺之后，又活了八百年，并且生养儿女。雅列完全用神的方式教导以诺。
摩西书6:22	这就是亚当子孙的族谱，亚当是神的儿子，神亲自与他交谈。
摩西书6:23	他们是传播正义的人，他们说话和预言，并呼唤各地所有的人悔改，教导人类儿女信心。
摩西书6:24	事情是这样的，雅列共活了九百六十二岁就死了。
摩西书6:25	以诺活到六十五岁，生了玛土撒拉。
摩西书6:26	事情是这样的，以诺在那地方，在人民当中旅行；当他旅行时，神的灵从天上降下来，停在他身上。
摩西书6:27	他听到天上有声音说：以诺，我儿，向这人民预言，并对他们说：悔改，因为主这样说：我对这人民生气，我的烈怒已对他们燃起；因为他们的心已变硬，他们的耳朵不灵，他们的眼睛看得不远；
摩西书6:28	自从我创造他们的那天以后，这许多世代以来，他们已走入歧途，否认我，在黑暗中寻求自己的劝告；他们在自己的憎行中设计谋杀，不遵守我给他们祖先亚当的诫命。
摩西书6:29	所以，他们背誓，并且，由于他们的誓言而为自己招致死亡；如果他们不悔改，我已经为他们准备了地狱；
摩西书6:30	这是我在世界开始时、从世界奠基以来，从我口中发出的命令，而且我也借我仆人，也就是你的祖先的口命令，就是要将这命令传到世界上去，到世界各角落。
摩西书6:31	以诺听了这些话后，就在主面前伏在地上，并在主面前说话，他说：为什么我在您眼中蒙喜爱呢？我只不过是个少年，而且所有的人都讨厌我；我拙于言辞；为何我是您的仆人呢？
摩西书6:32	主对以诺说：去做我命令你的事，没有人会刺穿你。张开你的口，你的口就会被充满，我会给你该说的话，因为一切有肉身的都在我手中，我会照我认为好的方式去做。
摩西书6:33	对这人民说：你们今日就要选择事奉那造你们的主神。
摩西书6:34	看啊，我的灵在你身上，所以你所有的话，我都将认为是正当的；诸山要在你面前逃跑，河川要改道；你要住在我里面，而我在你里面；所以，与我同行。
摩西书6:35	主对以诺说话，对他说：用泥抹在你的眼睛上，然后去洗，你就能看见。他就这么做了。
摩西书6:36	于是他看到了神创造的诸灵，也看到了肉眼看不到的事物；从那时起地上就传出这样的话说：主为祂的人民兴起一位先见了。
摩西书6:37	事情是这样的，以诺到各地方去，到人民当中，站在山上和高处大声呼喊，作反对他们行为的见证；所有的人都因他而动怒。
